contractId,subscriptionYear,policyYear,propertyType,surface,riskZone,formula,franchise,premiumHT,brokerCommission,coverageStartDate,coverageEndDate,cancellationDate,cancellationReason
MRH_2022_00001,2022,0,Maison,151,2,Confort,150,382.99,76.6,2022-10-14,2023-10-13,,
MRH_2022_00001,2022,1,Maison,151,2,Confort,150,67.01,13.4,2023-10-14,2023-12-14,2023-12-14,Prix trop élevé
MRH_2022_00002,2022,0,Appartement,68,3,Confort,500,185.84,37.17,2022-04-15,2023-04-14,,
MRH_2022_00002,2022,1,Appartement,68,3,Confort,500,191.42,38.28,2023-04-15,2024-04-14,,
MRH_2022_00002,2022,2,Appartement,68,3,Confort,500,197.16,39.43,2024-04-15,2025-04-14,,
MRH_2022_00003,2022,0,Appartement,78,2,Essentielle,300,175.23,35.05,2022-02-03,2023-02-02,,
MRH_2022_00003,2022,1,Appartement,78,2,Essentielle,300,180.49,36.1,2023-02-03,2024-02-02,,
MRH_2022_00003,2022,2,Appartement,78,2,Essentielle,300,185.9,37.18,2024-02-03,2025-02-02,,
MRH_2022_00004,2022,0,Appartement,28,2,Essentielle,500,105.49,21.1,2022-09-04,2023-09-03,,
MRH_2022_00004,2022,1,Appartement,28,2,Essentielle,500,108.65,21.73,2023-09-04,2024-09-03,,
MRH_2022_00004,2022,2,Appartement,28,2,Essentielle,500,111.91,22.38,2024-09-04,2025-09-03,,
MRH_2022_00005,2022,0,Appartement,81,4,Confort,150,280.2,56.04,2022-01-22,2023-01-21,,
MRH_2022_00005,2022,1,Appartement,81,4,Confort,150,288.61,57.72,2023-01-22,2024-01-21,,
MRH_2022_00005,2022,2,Appartement,81,4,Confort,150,297.26,59.45,2024-01-22,2025-01-21,,
MRH_2022_00006,2022,0,Appartement,34,2,Essentielle,300,121.93,24.39,2022-08-21,2023-08-20,,
MRH_2022_00006,2022,1,Appartement,34,2,Essentielle,300,125.59,25.12,2023-08-21,2024-08-20,,
MRH_2022_00006,2022,2,Appartement,34,2,Essentielle,300,129.36,25.87,2024-08-21,2025-08-20,,
MRH_2022_00007,2022,0,Appartement,46,3,Essentielle,300,143.65,28.73,2022-09-24,2023-09-23,,
MRH_2022_00007,2022,1,Appartement,46,3,Essentielle,300,147.96,29.59,2023-09-24,2024-09-23,,
MRH_2022_00007,2022,2,Appartement,46,3,Essentielle,300,152.4,30.48,2024-09-24,2025-09-23,,
MRH_2022_00008,2022,0,Appartement,30,5,Confort,300,195.75,39.15,2022-11-11,2023-11-10,,
MRH_2022_00008,2022,1,Appartement,30,5,Confort,300,201.62,40.32,2023-11-11,2024-11-10,,
MRH_2022_00008,2022,2,Appartement,30,5,Confort,300,207.67,41.53,2024-11-11,2025-11-10,,
MRH_2022_00009,2022,0,Appartement,86,2,Essentielle,300,184.92,36.98,2022-04-21,2023-04-20,,
MRH_2022_00009,2022,1,Appartement,86,2,Essentielle,300,190.47,38.09,2023-04-21,2024-04-20,,
MRH_2022_00009,2022,2,Appartement,86,2,Essentielle,300,196.18,39.24,2024-04-21,2025-04-20,,
MRH_2022_00010,2022,0,Maison,126,1,Essentielle,300,237.7,47.54,2022-12-19,2023-12-18,,
MRH_2022_00010,2022,1,Maison,126,1,Essentielle,300,244.83,48.97,2023-12-19,2024-12-18,,
MRH_2022_00010,2022,2,Maison,126,1,Essentielle,300,252.18,50.44,2024-12-19,2025-12-18,,
MRH_2022_00011,2022,0,Appartement,78,3,Confort,150,238.7,47.74,2022-03-21,2023-03-20,,
MRH_2022_00011,2022,1,Appartement,78,3,Confort,150,245.86,49.17,2023-03-21,2024-03-20,,
MRH_2022_00011,2022,2,Appartement,78,3,Confort,150,253.24,50.65,2024-03-21,2025-03-20,,
MRH_2022_00012,2022,0,Appartement,64,2,Confort,500,171.3,34.26,2022-09-09,2023-09-08,,
MRH_2022_00012,2022,1,Appartement,64,2,Confort,500,176.44,35.29,2023-09-09,2024-09-08,,
MRH_2022_00012,2022,2,Appartement,64,2,Confort,500,181.73,36.35,2024-09-09,2025-09-08,,
MRH_2022_00013,2022,0,Appartement,58,3,Essentielle,300,158.95,31.79,2022-02-10,2023-02-09,,
MRH_2022_00013,2022,1,Appartement,58,3,Essentielle,300,163.72,32.74,2023-02-10,2024-02-09,,
MRH_2022_00013,2022,2,Appartement,58,3,Essentielle,300,168.63,33.73,2024-02-10,2025-02-09,,
MRH_2022_00014,2022,0,Maison,60,4,Essentielle,300,224.82,44.96,2022-09-04,2023-09-03,,
MRH_2022_00014,2022,1,Maison,60,4,Essentielle,300,231.56,46.31,2023-09-04,2024-09-03,,
MRH_2022_00014,2022,2,Maison,60,4,Essentielle,300,238.51,47.7,2024-09-04,2025-09-03,,
MRH_2022_00015,2022,0,Maison,102,4,Confort,150,370.65,74.13,2022-10-11,2023-10-10,,
MRH_2022_00015,2022,1,Maison,102,4,Confort,150,381.77,76.35,2023-10-11,2024-10-10,,
MRH_2022_00015,2022,2,Maison,102,4,Confort,150,393.22,78.64,2024-10-11,2025-10-10,,
MRH_2022_00016,2022,0,Appartement,55,5,Premium,300,320.29,64.06,2022-01-08,2023-01-07,,
MRH_2022_00016,2022,1,Appartement,55,5,Premium,300,329.9,65.98,2023-01-08,2024-01-07,,
MRH_2022_00016,2022,2,Appartement,55,5,Premium,300,339.8,67.96,2024-01-08,2025-01-07,,
MRH_2022_00017,2022,0,Appartement,55,4,Confort,300,209.87,41.97,2022-11-16,2023-11-15,,
MRH_2022_00017,2022,1,Appartement,55,4,Confort,300,216.17,43.23,2023-11-16,2024-11-15,,
MRH_2022_00017,2022,2,Appartement,55,4,Confort,300,222.65,44.53,2024-11-16,2025-11-15,,
MRH_2022_00018,2022,0,Appartement,65,3,Premium,300,256.75,51.35,2022-12-10,2023-12-09,,
MRH_2022_00018,2022,1,Appartement,65,3,Premium,300,264.45,52.89,2023-12-10,2024-12-09,,
MRH_2022_00018,2022,2,Appartement,65,3,Premium,300,272.39,54.48,2024-12-10,2025-12-09,,
MRH_2022_00019,2022,0,Appartement,87,2,Essentielle,150,204.74,40.95,2022-10-18,2023-10-17,,
MRH_2022_00019,2022,1,Appartement,87,2,Essentielle,150,210.88,42.18,2023-10-18,2024-10-17,,
MRH_2022_00019,2022,2,Appartement,87,2,Essentielle,150,217.21,43.44,2024-10-18,2025-10-17,,
MRH_2022_00020,2022,0,Appartement,48,3,Essentielle,150,160.82,32.16,2022-06-03,2023-06-02,,
MRH_2022_00020,2022,1,Appartement,48,3,Essentielle,150,165.64,33.13,2023-06-03,2024-06-02,,
MRH_2022_00020,2022,2,Appartement,48,3,Essentielle,150,170.61,34.12,2024-06-03,2025-06-02,,
MRH_2022_00021,2022,0,Appartement,26,4,Confort,300,159.85,31.97,2022-08-26,2023-08-25,,
MRH_2022_00021,2022,1,Appartement,26,4,Confort,300,164.65,32.93,2023-08-26,2024-08-25,,
MRH_2022_00021,2022,2,Appartement,26,4,Confort,300,169.58,33.92,2024-08-26,2025-08-25,,
MRH_2022_00022,2022,0,Maison,104,2,Confort,150,309.32,61.86,2022-11-21,2023-11-20,,
MRH_2022_00022,2022,1,Maison,104,2,Confort,150,318.6,63.72,2023-11-21,2024-11-20,,
MRH_2022_00022,2022,2,Maison,104,2,Confort,150,328.16,65.63,2024-11-21,2025-11-20,,
MRH_2022_00023,2022,0,Appartement,38,2,Essentielle,500,116.64,23.33,2022-03-14,2023-03-13,,
MRH_2022_00023,2022,1,Appartement,38,2,Essentielle,500,120.14,24.03,2023-03-14,2024-03-13,,
MRH_2022_00023,2022,2,Appartement,38,2,Essentielle,500,123.74,24.75,2024-03-14,2025-03-13,,
MRH_2022_00024,2022,0,Maison,187,1,Premium,150,511.12,102.22,2022-01-21,2023-01-20,,
MRH_2022_00024,2022,1,Maison,187,1,Premium,150,526.45,105.29,2023-01-21,2024-01-20,,
MRH_2022_00024,2022,2,Maison,187,1,Premium,150,542.25,108.45,2024-01-21,2025-01-20,,
MRH_2022_00025,2022,0,Maison,189,2,Confort,300,402.32,80.46,2022-07-02,2023-07-01,,
MRH_2022_00025,2022,1,Maison,189,2,Confort,300,414.39,82.88,2023-07-02,2024-07-01,,
MRH_2022_00025,2022,2,Maison,189,2,Confort,300,252.59,50.52,2024-07-02,2025-02-02,2025-02-02,Concurrent moins cher
MRH_2022_00026,2022,0,Maison,85,4,Essentielle,500,240.56,48.11,2022-03-07,2023-03-06,,
MRH_2022_00026,2022,1,Maison,85,4,Essentielle,500,247.78,49.56,2023-03-07,2024-03-06,,
MRH_2022_00026,2022,2,Maison,85,4,Essentielle,500,255.21,51.04,2024-03-07,2025-03-06,,
MRH_2022_00027,2022,0,Appartement,24,1,Confort,300,115.6,23.12,2022-01-17,2023-01-16,,
MRH_2022_00027,2022,1,Appartement,24,1,Confort,300,29.68,5.94,2023-01-17,2023-04-17,2023-04-17,Déménagement
MRH_2022_00028,2022,0,Appartement,54,3,Essentielle,150,169.24,33.85,2022-10-08,2023-10-07,,
MRH_2022_00028,2022,1,Appartement,54,3,Essentielle,150,174.32,34.86,2023-10-08,2024-10-07,,
MRH_2022_00028,2022,2,Appartement,54,3,Essentielle,150,30.5,6.1,2024-10-08,2024-12-08,2024-12-08,Insatisfaction service
MRH_2022_00029,2022,0,Maison,88,2,Confort,300,258.4,51.68,2022-04-09,2023-04-08,,
MRH_2022_00029,2022,1,Maison,88,2,Confort,300,266.15,53.23,2023-04-09,2024-04-08,,
MRH_2022_00029,2022,2,Maison,88,2,Confort,300,274.14,54.83,2024-04-09,2025-04-08,,
MRH_2022_00030,2022,0,Appartement,56,2,Confort,150,192.28,38.46,2022-01-15,2023-01-14,,
MRH_2022_00030,2022,1,Appartement,56,2,Confort,150,198.05,39.61,2023-01-15,2024-01-14,,
MRH_2022_00030,2022,2,Appartement,56,2,Confort,150,203.99,40.8,2024-01-15,2025-01-14,,
MRH_2022_00031,2022,0,Appartement,36,1,Essentielle,150,122.39,24.48,2022-04-12,2023-04-11,,
MRH_2022_00031,2022,1,Appartement,36,1,Essentielle,150,126.06,25.21,2023-04-12,2024-04-11,,
MRH_2022_00031,2022,2,Appartement,36,1,Essentielle,150,129.84,25.97,2024-04-12,2025-04-11,,
MRH_2022_00032,2022,0,Appartement,58,2,Premium,150,254.04,50.81,2022-11-27,2023-11-26,,
MRH_2022_00032,2022,1,Appartement,58,2,Premium,150,261.66,52.33,2023-11-27,2024-11-26,,
MRH_2022_00032,2022,2,Appartement,58,2,Premium,150,269.51,53.9,2024-11-27,2025-11-26,,
MRH_2022_00033,2022,0,Appartement,79,4,Confort,300,251.27,50.25,2022-05-10,2023-05-09,,
MRH_2022_00033,2022,1,Appartement,79,4,Confort,300,258.81,51.76,2023-05-10,2024-05-09,,
MRH_2022_00033,2022,2,Appartement,79,4,Confort,300,266.57,53.31,2024-05-10,2025-05-09,,
MRH_2022_00034,2022,0,Appartement,51,3,Essentielle,500,138.02,27.6,2022-05-28,2023-05-27,,
MRH_2022_00034,2022,1,Appartement,51,3,Essentielle,500,131.25,26.25,2023-05-28,2024-04-28,2024-04-28,Insatisfaction service
MRH_2022_00035,2022,0,Maison,154,1,Premium,300,409.95,81.99,2022-12-15,2023-12-14,,
MRH_2022_00035,2022,1,Maison,154,1,Premium,300,422.25,84.45,2023-12-15,2024-12-14,,
MRH_2022_00035,2022,2,Maison,154,1,Premium,300,434.92,86.98,2024-12-15,2025-12-14,,
MRH_2022_00036,2022,0,Appartement,71,1,Premium,300,228.18,45.64,2022-09-02,2023-09-01,,
MRH_2022_00036,2022,1,Appartement,71,1,Premium,300,235.03,47.01,2023-09-02,2024-09-01,,
MRH_2022_00036,2022,2,Appartement,71,1,Premium,300,242.08,48.42,2024-09-02,2025-09-01,,
MRH_2022_00037,2022,0,Appartement,79,4,Confort,150,276.4,55.28,2022-06-07,2023-06-06,,
MRH_2022_00037,2022,1,Appartement,79,4,Confort,150,284.69,56.94,2023-06-07,2024-06-06,,
MRH_2022_00037,2022,2,Appartement,79,4,Confort,150,293.23,58.65,2024-06-07,2025-06-06,,
MRH_2022_00038,2022,0,Appartement,80,3,Premium,300,286.0,57.2,2022-04-28,2023-04-27,,
MRH_2022_00038,2022,1,Appartement,80,3,Premium,300,294.58,58.92,2023-04-28,2024-04-27,,
MRH_2022_00038,2022,2,Appartement,80,3,Premium,300,303.42,60.68,2024-04-28,2025-04-27,,
MRH_2022_00039,2022,0,Appartement,51,5,Confort,500,219.21,43.84,2022-11-28,2023-11-27,,
MRH_2022_00039,2022,1,Appartement,51,5,Confort,500,225.79,45.16,2023-11-28,2024-11-27,,
MRH_2022_00039,2022,2,Appartement,51,5,Confort,500,232.56,46.51,2024-11-28,2025-11-27,,
MRH_2022_00040,2022,0,Appartement,73,3,Confort,150,230.45,46.09,2022-08-08,2023-08-07,,
MRH_2022_00040,2022,1,Appartement,73,3,Confort,150,237.36,47.47,2023-08-08,2024-08-07,,
MRH_2022_00040,2022,2,Appartement,73,3,Confort,150,244.48,48.9,2024-08-08,2025-08-07,,
MRH_2022_00041,2022,0,Appartement,86,2,Confort,500,200.15,40.03,2022-06-09,2023-06-08,,
